feature,kind,house,fridge_state,count,mean,std,min,p01,p10,p25,p50,p75,p90,p99,max
residual_256,signed,H5,ON,6431,164.45028373009117,652.7587436774166,-3688.583984375,-1319.0692260742187,-24.40074348449707,-6.694671630859375,5.313743591308594,112.29312515258789,544.6416015625,2454.04150390625,8424.9072265625
residual_256,signed,H6,OFF,95226,-27.681137731394692,269.76529354223163,-2385.044189453125,-1181.2300720214844,-110.02859115600586,-46.238680839538574,-2.2790292501449585,0.40890467166900635,5.187263488769531,1011.9039001464844,6221.19140625
residual_256,signed,H6,ON,97563,29.214481518094527,297.68634771073755,-2386.18701171875,-970.0782421875,-11.551423263549804,-4.7732460498809814,-1.179337978363037,42.91996955871582,119.75035095214847,1478.6592626953195,7293.345703125
range_256,nonnegative,pooled,OFF,338730,413.8355993100427,1111.2257020178351,1.3900146484375,5.1800079345703125,6.629997253417969,9.6199951171875,92.45001220703125,183.04000854492188,1215.090087890625,6206.26025390625,11885.630859375
range_256,nonnegative,pooled,ON,208832,664.7693436510023,1149.2783476380368,6.1699981689453125,8.600006103515625,13.92999267578125,25.509979248046875,194.5399932861328,922.219970703125,1772.739990234375,5948.7998046875,11766.291015625
range_256,nonnegative,H1,OFF,150779,464.0477928797813,1243.5861168511497,4.769989013671875,5.2700042724609375,6.029998779296875,6.8899993896484375,12.8599853515625,190.91001892089844,1543.739990234375,6449.18994140625,10612.759765625
range_256,nonnegative,H1,ON,49782,1114.586726467394,1465.5420618894054,6.1699981689453125,12.439971923828125,22.410003662109375,223.44000244140625,431.260009765625,1669.3499755859375,1918.030029296875,7093.75,10612.759765625
range_256,nonnegative,H3,OFF,85437,515.2756075055662,1104.4836170384076,2.9199981689453125,11.370002746582031,20.610000610351562,34.18000793457031,133.33999633789062,254.79000854492188,1335.2619628906257,5433.2802734375,6741.759765625
range_256,nonnegative,H3,ON,55056,833.3565948331678,1238.926289563989,9.219970703125,27.280029296875,137.59999084472656,145.3099822998047,321.19000244140625,934.1199340820312,1908.18017578125,5761.7197265625,6803.3896484375
range_256,nonnegative,H5,OFF,7288,877.2648778092587,2047.0718117502972,1.3900146484375,1.529998779296875,1.959991455078125,3.279998779296875,135.6300048828125,429.83984375,3109.079833984375,11766.291015625,11885.630859375
range_256,nonnegative,H5,ON,6431,1017.2594455700606,1478.9375493790853,6.329986572265625,7.510009765625,11.829986572265625,21.6500244140625,169.760009765625,1676.989990234375,3109.079833984375,7417.56005859375,11766.291015625
range_256,nonnegative,H6,OFF,95226,207.85039677969553,675.5818331281431,6.7599945068359375,7.8499908447265625,9.419998168945312,13.330001831054688,19.769989013671875,148.510009765625,189.45001220703125,3049.729736328125,7478.34033203125
range_256,nonnegative,H6,ON,97563,316.8770843119866,687.3458541284331,6.739990234375,7.886222534179687,10.920013427734375,16.05999755859375,29.55999755859375,198.4600067138672,1027.4599609375,3110.8717187500015,7331.4501953125
